# Model:
# Number_of_Rigid_Bodies:2
# Number_of_Frames:101
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy
7.0,0.07,0.5992,0.4851,1.1985,0.9701,1.2795,1.7368,0.1621,1.5334
8.0,0.08,0.6103,0.4786,1.2206,0.9572,1.314,1.7271,0.1869,1.5398
9.0,0.09,0.6211,0.4717,1.2422,0.9433,1.3482,1.716,0.212,1.5453
10.0,0.1,0.6317,0.4643,1.2634,0.9286,1.3821,1.7035,0.2374,1.5499
11.0,0.11,0.642,0.4565,1.284,0.913,1.4155,1.6897,0.263,1.5534
12.0,0.12,0.6521,0.4483,1.3041,0.8966,1.4485,1.6747,0.2887,1.556
13.0,0.13,0.6618,0.4397,1.3236,0.8795,1.4809,1.6583,0.3147,1.5577
14.0,0.14,0.6712,0.4308,1.3425,0.8615,1.5128,1.6407,0.3407,1.5583
15.0,0.15,0.6804,0.4214,1.3607,0.8428,1.5441,1.6218,0.3668,1.558
16.0,0.16,0.6891,0.4117,1.3783,0.8234,1.5748,1.6018,0.393,1.5567
17.0,0.17,0.6976,0.4017,1.3952,0.8034,1.6047,1.5806,0.4191,1.5544
18.0,0.18,0.7056,0.3913,1.4113,0.7826,1.6339,1.5582,0.4451,1.5512
19.0,0.19,0.7133,0.3807,1.4267,0.7613,1.6622,1.5348,0.4711,1.5469
20.0,0.2,0.7206,0.3697,1.4413,0.7394,1.6898,1.5103,0.4969,1.5418
21.0,0.21,0.7276,0.3585,1.4551,0.7169,1.7164,1.4847,0.5226,1.5356
22.0,0.22,0.734,0.347,1.4681,0.6939,1.7421,1.4582,0.548,1.5286
23.0,0.23,0.7401,0.3352,1.4802,0.6705,1.7668,1.4308,0.5732,1.5206
24.0,0.24,0.7458,0.3233,1.4915,0.6466,1.7906,1.4024,0.5981,1.5117
25.0,0.25,0.751,0.3112,1.502,0.6223,1.8133,1.3732,0.6226,1.5018
26.0,0.26,0.7557,0.2988,1.5115,0.5976,1.8349,1.3432,0.6468,1.4911
27.0,0.27,0.76,0.2863,1.5201,0.5727,1.8553,1.3124,0.6705,1.4795
28.0,0.28,0.7639,0.2737,1.5278,0.5474,1.8747,1.281,0.6938,1.4671
29.0,0.29,0.7673,0.261,1.5345,0.5219,1.8928,1.2488,0.7166,1.4538
30.0,0.3,0.7702,0.2481,1.5403,0.4962,1.9098,1.2161,0.7389,1.4397
31.0,0.31,0.7726,0.2352,1.5452,0.4703,1.9255,1.1828,0.7606,1.4249
32.0,0.32,0.7745,0.2222,1.5491,0.4443,1.9399,1.1489,0.7817,1.4092
33.0,0.33,0.776,0.2091,1.552,0.4183,1.9531,1.1147,0.8022,1.3929
34.0,0.34,0.777,0.1961,1.5539,0.3921,1.965,1.08,0.8221,1.3758
35.0,0.35,0.7774,0.183,1.5549,0.366,1.9755,1.045,0.8412,1.358
36.0,0.36,0.7774,0.17,1.5549,0.34,1.9847,1.0097,0.8596,1.3395
37.0,0.37,0.777,0.157,1.5539,0.314,1.9926,0.9742,0.8773,1.3204
38.0,0.38,0.776,0.144,1.5519,0.2881,1.999,0.9385,0.8942,1.3007
39.0,0.39,0.7745,0.1312,1.549,0.2624,2.0041,0.9026,0.9103,1.2805
40.0,0.4,0.7725,0.1184,1.5451,0.2369,2.0079,0.8667,0.9255,1.2597
41.0,0.41,0.7701,0.1058,1.5402,0.2116,2.0102,0.8308,0.94,1.2383
42.0,0.42,0.7672,0.0933,1.5344,0.1866,2.0111,0.7949,0.9535,1.2165
43.0,0.43,0.7638,0.081,1.5276,0.1619,2.0107,0.7591,0.9661,1.1943
44.0,0.44,0.7599,0.0688,1.5199,0.1376,2.0088,0.7235,0.9779,1.1716
45.0,0.45,0.7556,0.0569,1.5112,0.1137,2.0055,0.688,0.9886,1.1486
46.0,0.46,0.7508,0.0451,1.5016,0.0902,2.0009,0.6528,0.9985,1.1252
47.0,0.47,0.7456,0.0336,1.4912,0.0672,1.9949,0.6179,1.0074,1.1015
48.0,0.48,0.7399,0.0223,1.4798,0.0446,1.9874,0.5834,1.0153,1.0775
49.0,0.49,0.7338,0.0113,1.4676,0.0226,1.9786,0.5493,1.0222,1.0533
50.0,0.5,0.7272,0.0006,1.4545,0.0012,1.9685,0.5156,1.0281,1.0289
51.0,0.51,0.7211,-0.0099,1.4422,-0.0197,1.9592,0.483,1.0341,1.0054
52.0,0.52,0.7162,-0.0201,1.4323,-0.0402,1.9531,0.4518,1.0416,0.984
53.0,0.53,0.7125,-0.0302,1.4249,-0.0604,1.9503,0.4218,1.0507,0.9645
54.0,0.54,0.71,-0.0402,1.42,-0.0804,1.9507,0.393,1.0614,0.9468
55.0,0.55,0.7088,-0.0503,1.4176,-0.1005,1.9545,0.3649,1.0739,0.9309
56.0,0.56,0.7088,-0.0604,1.4176,-0.1208,1.9617,0.3374,1.0882,0.9165
57.0,0.57,0.71,-0.0707,1.4201,-0.1414,1.9724,0.3104,1.1045,0.9037
58.0,0.58,0.7125,-0.0813,1.425,-0.1625,1.9864,0.2836,1.1229,0.8922
59.0,0.59,0.7161,-0.0921,1.4323,-0.1843,2.004,0.2567,1.1434,0.882
60.0,0.6,0.721,-0.1034,1.4419,-0.2068,2.025,0.2296,1.1662,0.8729
61.0,0.61,0.727,-0.1152,1.4539,-0.2303,2.0496,0.2021,1.1913,0.8648
62.0,0.62,0.7341,-0.1275,1.4682,-0.2549,2.0776,0.1738,1.2188,0.8574
63.0,0.63,0.7424,-0.1404,1.4847,-0.2808,2.1091,0.1446,1.2488,0.8508
64.0,0.64,0.7517,-0.1541,1.5035,-0.3081,2.1441,0.1142,1.2813,0.8447
65.0,0.65,0.7621,-0.1685,1.5243,-0.3371,2.1825,0.0824,1.3165,0.839
66.0,0.66,0.7736,-0.1839,1.5471,-0.3678,2.2243,0.0489,1.3544,0.8334
67.0,0.67,0.786,-0.2002,1.5719,-0.4004,2.2694,0.0135,1.395,0.8278
68.0,0.68,0.7993,-0.2176,1.5986,-0.4352,2.3178,-0.0242,1.4385,0.822
69.0,0.69,0.8135,-0.2362,1.627,-0.4724,2.3694,-0.0645,1.4848,0.8158
70.0,0.7,0.8285,-0.256,1.657,-0.5121,2.424,-0.1076,1.5341,0.809
71.0,0.71,0.8443,-0.2772,1.6885,-0.5545,2.4817,-0.1538,1.5863,0.8013
72.0,0.72,0.8607,-0.2999,1.7214,-0.5998,2.5422,-0.2036,1.6416,0.7924
73.0,0.73,0.8777,-0.3241,1.7554,-0.6482,2.6054,-0.2571,1.7,0.7822
74.0,0.74,0.8952,-0.35,1.7905,-0.7001,2.6712,-0.3149,1.7614,0.7703
75.0,0.75,0.9132,-0.3777,1.8263,-0.7554,2.7392,-0.3772,1.8259,0.7565
76.0,0.76,0.9283,-0.4059,1.8566,-0.8118,2.8001,-0.4428,1.8871,0.738
77.0,0.77,0.9376,-0.433,1.8751,-0.8661,2.8444,-0.5097,1.9386,0.7127
78.0,0.78,0.9411,-0.4587,1.8823,-0.9174,2.8722,-0.5766,1.9799,0.6815
79.0,0.79,0.9391,-0.4824,1.8783,-0.9648,2.8836,-0.6423,2.0106,0.6451
80.0,0.8,0.9318,-0.5038,1.8635,-1.0077,2.8788,-0.7055,2.0305,0.6044
81.0,0.81,0.9192,-0.5225,1.8385,-1.045,2.858,-0.7649,2.0391,0.5602
82.0,0.82,0.9018,-0.538,1.8035,-1.0761,2.8217,-0.8193,2.0364,0.5136
83.0,0.83,0.8796,-0.55,1.7592,-1.1001,2.7702,-0.8674,2.022,0.4653
84.0,0.84,0.853,-0.5581,1.706,-1.1163,2.7039,-0.9082,1.9958,0.4162
85.0,0.85,0.8223,-0.562,1.6445,-1.124,2.6234,-0.9404,1.9578,0.3672
86.0,0.86,0.7876,-0.5614,1.5752,-1.1227,2.5292,-0.9631,1.9079,0.3192
87.0,0.87,0.7494,-0.5559,1.4988,-1.1118,2.4218,-0.9753,1.846,0.2729
88.0,0.88,0.7078,-0.5454,1.4156,-1.0907,2.3017,-0.9762,1.7723,0.229
89.0,0.89,0.6631,-0.5296,1.3262,-1.0592,2.1696,-0.9651,1.6868,0.1881
90.0,0.9,0.6155,-0.5084,1.231,-1.0169,2.0258,-0.9415,1.5895,0.1508
