# Model:
# Number_of_Rigid_Bodies:12
# Number_of_Frames:81
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy,Body_3_X,Body_3_Y,Body_3_Ux,Body_3_Uy,Body_4_X,Body_4_Y,Body_4_Ux,Body_4_Uy,Body_5_X,Body_5_Y,Body_5_Ux,Body_5_Uy,Body_6_X,Body_6_Y,Body_6_Ux,Body_6_Uy,Body_7_X,Body_7_Y,Body_7_Ux,Body_7_Uy,Body_8_X,Body_8_Y,Body_8_Ux,Body_8_Uy,Body_9_X,Body_9_Y,Body_9_Ux,Body_9_Uy,Body_10_X,Body_10_Y,Body_10_Ux,Body_10_Uy,Body_11_X,Body_11_Y,Body_11_Ux,Body_11_Uy,Body_12_X,Body_12_Y,Body_12_Ux,Body_12_Uy,Mixed_Ang_Driver_1,Mixed_Ang_Driver_2,Mixed_Ang_Driver_3,Mixed_Ang_Driver_4,Mixed_Ang_Driver_5,Mixed_Ang_Driver_6,Mixed_Ang_Driver_7,Mixed_Ang_Driver_8,Mixed_Ang_Driver_9,Mixed_Ang_Driver_10,Mixed_Ang_Driver_11,Mixed_Ang_Driver_12
20.0,0.2,-0.6652,1.1058,0.9975,-0.0186,-0.6026,1.4421,0.9284,-0.378,-0.6608,1.1531,1.005,0.0055,-0.7004,1.1659,0.9641,-0.2846,-0.605,0.9316,0.6675,0.7367,-0.7556,0.9322,0.9886,-0.1089,-0.717,0.6297,0.9574,-0.2905,-0.6046,0.6275,0.9183,0.3997,-0.8385,0.279,0.9267,-0.3752,-0.4628,0.2828,0.9347,0.3531,-0.8691,0.0545,0.5557,0.8315,-0.3318,0.0914,0.0728,0.998,0.0187,-0.368,0.0242,-0.2684,0.8291,0.1773,-0.2759,0.4292,-0.0902,-0.0494,1.3664,1.1368
21.0,0.21,-0.6529,1.104,0.9975,-0.0163,-0.5904,1.4403,0.9274,-0.3803,-0.6488,1.1517,1.0049,0.0066,-0.6883,1.1636,0.965,-0.282,-0.5927,0.9305,0.6643,0.7397,-0.7429,0.9296,0.9888,-0.1074,-0.7055,0.6283,0.9544,-0.3001,-0.591,0.6259,0.917,0.4028,-0.8325,0.2795,0.9177,-0.3968,-0.4482,0.2816,0.9337,0.3557,-0.8682,0.0556,0.5757,0.8177,-0.3165,0.0905,0.0716,0.9981,0.0164,-0.3728,0.0229,-0.268,0.8324,0.1762,-0.2882,0.4302,-0.1035,-0.0499,1.3655,1.1352
22.0,0.22,-0.6404,1.1024,0.9975,-0.0138,-0.578,1.4385,0.9264,-0.3829,-0.6368,1.1504,1.0048,0.0069,-0.6759,1.1614,0.9661,-0.2784,-0.5806,0.9294,0.6628,0.7411,-0.7298,0.9271,0.989,-0.1045,-0.6936,0.6269,0.9518,-0.3083,-0.5771,0.6245,0.9154,0.4065,-0.826,0.28,0.9076,-0.4195,-0.4343,0.2804,0.9356,0.3505,-0.8671,0.0569,0.5977,0.8018,-0.3037,0.0886,0.0783,0.9977,0.0138,-0.3782,0.0207,-0.2668,0.8342,0.1753,-0.2995,0.4317,-0.1197,-0.0594,1.3631,1.134
23.0,0.23,-0.6278,1.1009,0.9975,-0.0107,-0.5655,1.437,0.9252,-0.3858,-0.6248,1.1493,1.0047,0.0065,-0.6634,1.1594,0.9675,-0.2739,-0.5688,0.9284,0.6631,0.741,-0.7163,0.9246,0.9894,-0.1008,-0.6811,0.6255,0.9497,-0.315,-0.5629,0.6234,0.9137,0.4105,-0.8188,0.2807,0.8963,-0.4432,-0.4211,0.2792,0.9399,0.3386,-0.8659,0.0583,0.6234,0.782,-0.2929,0.0856,0.0913,0.9967,0.0107,-0.3844,0.0172,-0.2651,0.8343,0.1743,-0.3095,0.433,-0.139,-0.0765,1.357,1.1337
24.0,0.24,-0.615,1.0995,0.9976,-0.0079,-0.5527,1.4357,0.9241,-0.3883,-0.6128,1.1484,1.0046,0.0048,-0.6506,1.1574,0.9689,-0.2692,-0.5573,0.9275,0.6652,0.7392,-0.7023,0.9222,0.9899,-0.0955,-0.6683,0.6242,0.948,-0.3201,-0.5486,0.6225,0.9118,0.4145,-0.8111,0.2815,0.8838,-0.4676,-0.4087,0.2779,0.946,0.3211,-0.8644,0.0599,0.6521,0.7583,-0.2841,0.0818,0.1126,0.9945,0.0079,-0.3899,0.0127,-0.2631,0.8333,0.1748,-0.3177,0.4346,-0.161,-0.0995,1.3472,1.1308
25.0,0.25,-0.6021,1.0983,0.9976,-0.0048,-0.5399,1.4345,0.923,-0.3911,-0.6009,1.1478,1.0045,0.0023,-0.6377,1.1556,0.9705,-0.2637,-0.5462,0.9266,0.6692,0.7357,-0.688,0.9198,0.9904,-0.0893,-0.6549,0.6228,0.9471,-0.3228,-0.5341,0.6218,0.9099,0.4185,-0.8025,0.2825,0.8699,-0.493,-0.3968,0.2766,0.9532,0.2989,-0.8626,0.0618,0.6842,0.7295,-0.277,0.0775,0.14,0.991,0.0048,-0.3959,0.0071,-0.2605,0.8305,0.1754,-0.3236,0.436,-0.1872,-0.1273,1.333,1.1266
26.0,0.26,-0.5891,1.0973,0.9976,-0.0016,-0.5269,1.4336,0.9218,-0.3938,-0.5889,1.1473,1.0044,-0.0014,-0.6245,1.1538,0.9722,-0.2578,-0.5354,0.9258,0.6747,0.7307,-0.6733,0.9176,0.991,-0.0819,-0.641,0.6215,0.947,-0.3234,-0.5196,0.6213,0.9084,0.4217,-0.7929,0.2836,0.8544,-0.5193,-0.3856,0.2754,0.9609,0.273,-0.8605,0.064,0.7188,0.6955,-0.2713,0.0728,0.1715,0.986,0.0016,-0.4021,0.0002,-0.2576,0.8267,0.1768,-0.3275,0.4362,-0.217,-0.1578,1.3151,1.1218
27.0,0.27,-0.5759,1.0965,0.9977,0.0015,-0.5138,1.4329,0.9208,-0.396,-0.5771,1.147,1.0042,-0.0065,-0.6112,1.1523,0.9739,-0.2513,-0.525,0.9253,0.6816,0.7244,-0.6583,0.9155,0.9917,-0.0732,-0.6265,0.6202,0.948,-0.3207,-0.5051,0.621,0.9071,0.4242,-0.7822,0.2848,0.8372,-0.5465,-0.3749,0.2743,0.9685,0.2451,-0.8579,0.0666,0.7569,0.6539,-0.2666,0.068,0.2066,0.9792,-0.0015,-0.4077,-0.008,-0.2541,0.8223,0.1789,-0.3278,0.4359,-0.2521,-0.1896,1.2909,1.1151
28.0,0.28,-0.5625,1.0958,0.9977,0.0045,-0.5006,1.4325,0.92,-0.3978,-0.5652,1.147,1.004,-0.013,-0.5976,1.1509,0.9757,-0.2445,-0.5149,0.9248,0.6904,0.7162,-0.6428,0.9135,0.9923,-0.0637,-0.6113,0.619,0.95,-0.3149,-0.4907,0.6208,0.9064,0.4254,-0.7703,0.2862,0.8182,-0.5744,-0.3649,0.2733,0.9757,0.2154,-0.8546,0.0697,0.7969,0.6046,-0.2629,0.0634,0.2436,0.9706,-0.0045,-0.4126,-0.0175,-0.2501,0.8167,0.1814,-0.3246,0.4343,-0.292,-0.2215,1.2611,1.1075
29.0,0.29,-0.549,1.0954,0.9977,0.0071,-0.4873,1.4323,0.9195,-0.399,-0.5532,1.1472,1.0037,-0.0209,-0.5837,1.1497,0.9775,-0.2375,-0.5052,0.9244,0.7002,0.7067,-0.627,0.9117,0.9929,-0.0535,-0.5955,0.6178,0.9532,-0.3054,-0.4766,0.6208,0.9062,0.4254,-0.7569,0.2878,0.7974,-0.6027,-0.3554,0.2724,0.9819,0.1854,-0.8507,0.0734,0.8385,0.5456,-0.2599,0.0591,0.2793,0.9608,-0.0071,-0.4165,-0.0279,-0.2455,0.8108,0.1845,-0.3171,0.4318,-0.3372,-0.2523,1.2241,1.1013
