# Model:
# Number_of_Rigid_Bodies:12
# Number_of_Frames:109
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy,Body_3_X,Body_3_Y,Body_3_Ux,Body_3_Uy,Body_4_X,Body_4_Y,Body_4_Ux,Body_4_Uy,Body_5_X,Body_5_Y,Body_5_Ux,Body_5_Uy,Body_6_X,Body_6_Y,Body_6_Ux,Body_6_Uy,Body_7_X,Body_7_Y,Body_7_Ux,Body_7_Uy,Body_8_X,Body_8_Y,Body_8_Ux,Body_8_Uy,Body_9_X,Body_9_Y,Body_9_Ux,Body_9_Uy,Body_10_X,Body_10_Y,Body_10_Ux,Body_10_Uy,Body_11_X,Body_11_Y,Body_11_Ux,Body_11_Uy,Body_12_X,Body_12_Y,Body_12_Ux,Body_12_Uy
20.0,0.2,0.2285,0.9673,0.9996,0.0282,0.242,1.4452,0.9869,-0.1613,0.2156,1.1722,0.9997,-0.0257,0.2101,1.1774,0.9976,-0.0695,0.2455,0.9302,0.898,0.44,0.2323,0.9436,0.8994,0.437,0.2841,0.6395,0.9496,0.3134,0.2546,0.6277,0.9919,0.1272,0.3552,0.2792,0.9996,0.0289,0.1652,0.3131,0.643,-0.7658,0.416,0.0513,0.3278,0.9448,0.0094,0.1225,0.9991,-0.0423
21.0,0.21,0.239,0.9692,0.9996,0.0293,0.2519,1.4473,0.9873,-0.1588,0.2275,1.1741,0.9999,-0.0123,0.2194,1.1794,0.9971,-0.0764,0.2616,0.933,0.8861,0.4634,0.2381,0.9446,0.9139,0.406,0.2921,0.6405,0.9552,0.296,0.2709,0.6304,0.9871,0.1603,0.3582,0.2791,0.9998,0.0215,0.1897,0.3156,0.6511,-0.759,0.4176,0.0513,0.3247,0.9458,0.0374,0.1234,1.0,-0.0086
22.0,0.22,0.2495,0.9712,0.9995,0.0304,0.2616,1.4493,0.9877,-0.1563,0.2393,1.1761,1.0,0.0007,0.2286,1.1815,0.9965,-0.0835,0.2774,0.9359,0.8735,0.4868,0.2438,0.9457,0.9269,0.3752,0.2998,0.6417,0.9605,0.2782,0.2869,0.6334,0.9813,0.1924,0.3611,0.2791,0.9999,0.0148,0.2143,0.318,0.6632,-0.7484,0.4191,0.0514,0.3225,0.9466,0.0667,0.1234,0.9994,0.0335
23.0,0.23,0.2599,0.9732,0.9995,0.0314,0.2713,1.4514,0.9881,-0.1537,0.251,1.1781,0.9999,0.0132,0.2378,1.1836,0.9959,-0.0908,0.2931,0.939,0.8603,0.5098,0.2493,0.947,0.9387,0.3448,0.3075,0.6429,0.9656,0.26,0.3027,0.6366,0.9747,0.2234,0.364,0.2792,1.0,0.0085,0.239,0.3202,0.679,-0.7342,0.4207,0.0516,0.3211,0.947,0.0973,0.1226,0.9966,0.082
24.0,0.24,0.2703,0.9752,0.9995,0.0324,0.281,1.4534,0.9885,-0.1512,0.2627,1.1801,0.9997,0.0251,0.2469,1.1857,0.9951,-0.0984,0.3085,0.9421,0.8466,0.5323,0.2549,0.9484,0.9491,0.3149,0.3151,0.6441,0.9704,0.2416,0.3182,0.6398,0.9675,0.253,0.3667,0.2794,1.0,0.0025,0.2638,0.3221,0.6979,-0.7162,0.4221,0.0518,0.3205,0.9473,0.1289,0.1211,0.9908,0.1351
25.0,0.25,0.2807,0.9772,0.9994,0.0333,0.2908,1.4554,0.9889,-0.1488,0.2743,1.1821,0.9993,0.0363,0.256,1.1877,0.9943,-0.1064,0.3237,0.9453,0.8324,0.5541,0.2604,0.9499,0.9583,0.2857,0.3226,0.6453,0.9749,0.2228,0.3335,0.643,0.9596,0.2812,0.3693,0.2797,1.0,-0.0034,0.2885,0.3238,0.7194,-0.6946,0.4235,0.0521,0.3205,0.9473,0.1614,0.119,0.9816,0.1911
26.0,0.26,0.2912,0.979,0.9994,0.0341,0.3007,1.4573,0.9892,-0.1465,0.2859,1.184,0.9989,0.0468,0.2651,1.1897,0.9934,-0.1149,0.3388,0.9483,0.8181,0.5751,0.266,0.9513,0.9664,0.2571,0.3301,0.6465,0.9791,0.2036,0.3485,0.6462,0.9515,0.3077,0.3718,0.28,1.0,-0.0093,0.3132,0.3251,0.7429,-0.6694,0.4248,0.0523,0.321,0.9471,0.1947,0.1165,0.9687,0.2484
27.0,0.27,0.3017,0.9807,0.9994,0.0347,0.3107,1.459,0.9895,-0.1445,0.2975,1.1857,0.9984,0.0565,0.2743,1.1915,0.9923,-0.1238,0.3536,0.9513,0.8036,0.5952,0.2716,0.9528,0.9734,0.2293,0.3376,0.6476,0.9829,0.1839,0.3633,0.6493,0.9432,0.3323,0.3741,0.2802,0.9999,-0.0153,0.3377,0.3262,0.7678,-0.6406,0.4259,0.0526,0.3219,0.9468,0.2286,0.1136,0.952,0.306
28.0,0.28,0.3124,0.9822,0.9994,0.0352,0.3209,1.4605,0.9898,-0.1427,0.3092,1.1873,0.9979,0.0655,0.2836,1.1931,0.9911,-0.1331,0.3684,0.9541,0.789,0.6143,0.2772,0.9542,0.9793,0.2023,0.3451,0.6485,0.9865,0.1638,0.3778,0.6522,0.935,0.3548,0.3764,0.2804,0.9998,-0.0215,0.3621,0.3269,0.7938,-0.6082,0.4268,0.0527,0.323,0.9464,0.2629,0.1104,0.9318,0.3631
29.0,0.29,0.3232,0.9835,0.9994,0.0355,0.3314,1.4618,0.99,-0.1412,0.3209,1.1886,0.9973,0.0737,0.293,1.1946,0.9898,-0.1428,0.3829,0.9567,0.7745,0.6325,0.283,0.9555,0.9844,0.1762,0.3525,0.6493,0.9897,0.1431,0.392,0.6548,0.927,0.375,0.3784,0.2805,0.9996,-0.0279,0.3861,0.3272,0.8201,-0.5723,0.4275,0.0528,0.3243,0.946,0.2977,0.1069,0.9079,0.4192
30.0,0.3,0.334,0.9845,0.9994,0.0357,0.342,1.4629,0.9902,-0.14,0.3327,1.1897,0.9967,0.0814,0.3026,1.1958,0.9883,-0.1528,0.3974,0.959,0.7601,0.6498,0.289,0.9566,0.9885,0.1511,0.36,0.6498,0.9925,0.122,0.4058,0.657,0.9196,0.3928,0.3803,0.2805,0.9994,-0.0345,0.4099,0.3271,0.8463,-0.5327,0.428,0.0527,0.3257,0.9455,0.3328,0.1032,0.8805,0.4741
31.0,0.31,0.3449,0.9853,0.9994,0.0357,0.3528,1.4637,0.9903,-0.139,0.3446,1.1906,0.9961,0.0885,0.3122,1.1968,0.9866,-0.163,0.4118,0.9611,0.7459,0.6661,0.2951,0.9576,0.9919,0.127,0.3674,0.6502,0.9949,0.1004,0.4193,0.6589,0.9129,0.4081,0.3821,0.2804,0.9991,-0.0414,0.4334,0.3265,0.872,-0.4894,0.4283,0.0526,0.3272,0.945,0.3682,0.0994,0.8495,0.5277
32.0,0.32,0.356,0.9857,0.9994,0.0356,0.3637,1.4642,0.9904,-0.1383,0.3565,1.1911,0.9955,0.0951,0.322,1.1975,0.9849,-0.1732,0.426,0.9628,0.7319,0.6815,0.3014,0.9584,0.9946,0.1041,0.3749,0.6504,0.9969,0.0785,0.4324,0.6604,0.9071,0.4209,0.3838,0.2802,0.9988,-0.0486,0.4565,0.3254,0.8967,-0.4426,0.4284,0.0524,0.3288,0.9444,0.4039,0.0956,0.8148,0.5798
33.0,0.33,0.367,0.9859,0.9994,0.0354,0.3748,1.4643,0.9905,-0.1377,0.3685,1.1914,0.9948,0.1014,0.3318,1.1979,0.9831,-0.1833,0.4402,0.9643,0.718,0.696,0.3079,0.9589,0.9966,0.0822,0.3823,0.6503,0.9984,0.0565,0.4452,0.6614,0.9022,0.4313,0.3854,0.2799,0.9984,-0.056,0.4792,0.3239,0.9199,-0.3921,0.4284,0.052,0.3305,0.9438,0.4399,0.0918,0.7764,0.6303
34.0,0.34,0.3782,0.9858,0.9994,0.0351,0.3859,1.4642,0.9905,-0.1373,0.3805,1.1913,0.9942,0.1074,0.3418,1.198,0.9812,-0.1932,0.4543,0.9654,0.7045,0.7097,0.3146,0.9592,0.9981,0.0616,0.3898,0.65,0.9994,0.0344,0.4576,0.6619,0.8984,0.4392,0.387,0.2794,0.998,-0.0638,0.5016,0.322,0.9411,-0.3382,0.4284,0.0516,0.3325,0.9431,0.4761,0.0883,0.7342,0.6789
35.0,0.35,0.3893,0.9853,0.9994,0.0349,0.3971,1.4638,0.9906,-0.1371,0.3925,1.191,0.9936,0.1132,0.3518,1.1978,0.9792,-0.2028,0.4683,0.9662,0.6912,0.7226,0.3216,0.9593,0.9991,0.0422,0.3974,0.6495,0.9999,0.0125,0.4697,0.6619,0.8956,0.4449,0.3886,0.2789,0.9974,-0.0719,0.5237,0.3198,0.9597,-0.2811,0.4282,0.051,0.3349,0.9423,0.5124,0.0852,0.6883,0.7254
36.0,0.36,0.4005,0.9846,0.9994,0.0346,0.4084,1.463,0.9906,-0.1369,0.4045,1.1903,0.9929,0.1188,0.3619,1.1973,0.9773,-0.2119,0.4822,0.9666,0.6784,0.7347,0.3288,0.959,0.9997,0.024,0.405,0.6487,1.0,-0.0091,0.4814,0.6614,0.8938,0.4485,0.3903,0.2782,0.9968,-0.0805,0.5453,0.3174,0.9752,-0.2211,0.4281,0.0503,0.3376,0.9413,0.5488,0.0827,0.6389,0.7693
37.0,0.37,0.4116,0.9836,0.9994,0.0343,0.4196,1.462,0.9906,-0.1368,0.4165,1.1894,0.9922,0.1243,0.3721,1.1965,0.9754,-0.2205,0.4961,0.9668,0.6659,0.746,0.3362,0.9586,1.0,0.0071,0.4127,0.6478,0.9995,-0.0303,0.4928,0.6606,0.8929,0.4502,0.392,0.2775,0.996,-0.0895,0.5666,0.3148,0.9873,-0.1589,0.4279,0.0496,0.3407,0.9402,0.585,0.081,0.5863,0.8101
38.0,0.38,0.4228,0.9823,0.9994,0.034,0.4309,1.4607,0.9906,-0.1369,0.4285,1.1882,0.9916,0.1297,0.3823,1.1955,0.9736,-0.2284,0.5098,0.9666,0.654,0.7565,0.344,0.9578,1.0,-0.0086,0.4205,0.6466,0.9987,-0.051,0.5039,0.6593,0.8929,0.4502,0.3939,0.2767,0.9951,-0.0991,0.5875,0.3123,0.9955,-0.0953,0.4276,0.0487,0.3443,0.9389,0.621,0.0803,0.5312,0.8473
39.0,0.39,0.434,0.9808,0.9994,0.0337,0.4422,1.4592,0.9906,-0.137,0.4404,1.1868,0.9909,0.1349,0.3927,1.1941,0.9718,-0.2357,0.5234,0.9662,0.6427,0.7661,0.352,0.9568,0.9997,-0.023,0.4284,0.6453,0.9975,-0.071,0.5148,0.6576,0.8936,0.449,0.3959,0.2758,0.994,-0.1094,0.608,0.3099,0.9995,-0.031,0.4274,0.0478,0.3484,0.9374,0.6563,0.0806,0.4742,0.8804
40.0,0.4,0.4452,0.979,0.9994,0.0335,0.4535,1.4575,0.9905,-0.1372,0.4524,1.1851,0.9902,0.1399,0.4031,1.1926,0.9702,-0.2422,0.5369,0.9655,0.6322,0.7748,0.3604,0.9556,0.9993,-0.0361,0.4364,0.6438,0.9959,-0.0902,0.5256,0.6557,0.8947,0.4466,0.3981,0.2748,0.9927,-0.1204,0.628,0.3077,0.9995,0.0326,0.4272,0.0469,0.3529,0.9357,0.6909,0.082,0.4164,0.9092
