Time,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0.37,-0.4418,1.2888,-0.4344,0.7836,-0.3229,1.5686,-0.4757,0.983,-0.4988,0.9692,-0.3454,0.7954,-0.478,0.7389,-0.4765,0.4018,-0.2997,0.4283,-0.7651,0.178,-0.3053,0.0708,-0.7776,0.0593,-0.1949,0.0195
0.38,-0.4291,1.2901,-0.4217,0.7844,-0.3099,1.5699,-0.4668,0.9852,-0.4825,0.9694,-0.3419,0.7943,-0.4565,0.7395,-0.4515,0.4017,-0.2928,0.428,-0.7438,0.1843,-0.3049,0.0711,-0.7625,0.065,-0.1949,0.0197
0.39,-0.4164,1.2916,-0.4093,0.7854,-0.297,1.5714,-0.458,0.9875,-0.4662,0.9698,-0.3386,0.7933,-0.4347,0.7406,-0.4268,0.4024,-0.2867,0.4277,-0.7213,0.1898,-0.3047,0.0713,-0.7442,0.0703,-0.1949,0.02
0.4,-0.4039,1.2932,-0.3972,0.7866,-0.2843,1.573,-0.4493,0.9898,-0.45,0.9706,-0.3354,0.7925,-0.4129,0.7421,-0.4025,0.4039,-0.2814,0.4273,-0.6977,0.1943,-0.3045,0.0716,-0.7227,0.075,-0.195,0.0205
0.41,-0.3915,1.295,-0.3855,0.7879,-0.2718,1.5747,-0.4406,0.9922,-0.4338,0.9716,-0.3322,0.7918,-0.3909,0.744,-0.3787,0.4061,-0.2768,0.4268,-0.6733,0.1976,-0.3043,0.0718,-0.698,0.0788,-0.195,0.0209
0.42,-0.3793,1.2968,-0.3739,0.7894,-0.2594,1.5765,-0.4321,0.9946,-0.4178,0.9729,-0.3291,0.7912,-0.3689,0.7464,-0.3555,0.409,-0.2727,0.4264,-0.6481,0.1997,-0.3041,0.0719,-0.6703,0.0816,-0.1951,0.0213
0.43,-0.3671,1.2987,-0.3626,0.791,-0.2473,1.5784,-0.4235,0.9971,-0.4018,0.9745,-0.3259,0.7909,-0.3469,0.7492,-0.3328,0.4125,-0.2691,0.4261,-0.6221,0.2004,-0.304,0.0721,-0.6398,0.0834,-0.1952,0.0216
0.44,-0.355,1.3007,-0.3515,0.7927,-0.2353,1.5803,-0.415,0.9995,-0.386,0.9763,-0.3227,0.7907,-0.325,0.7524,-0.3106,0.4164,-0.266,0.4259,-0.5953,0.1997,-0.3038,0.0722,-0.6069,0.0841,-0.1953,0.0217
0.45,-0.343,1.3027,-0.3404,0.7944,-0.2235,1.5824,-0.4065,1.0019,-0.3703,0.9782,-0.3195,0.7906,-0.3032,0.756,-0.2889,0.4207,-0.2631,0.4257,-0.5678,0.1976,-0.3035,0.0724,-0.5719,0.0838,-0.1953,0.0218
0.46,-0.3311,1.3046,-0.3294,0.7962,-0.212,1.5844,-0.398,1.0043,-0.3548,0.9804,-0.3162,0.7907,-0.2815,0.7599,-0.2677,0.4251,-0.2604,0.4257,-0.5396,0.1941,-0.3033,0.0726,-0.5353,0.0824,-0.1954,0.0217
0.47,-0.3192,1.3066,-0.3185,0.798,-0.2006,1.5864,-0.3894,1.0065,-0.3395,0.9826,-0.3127,0.7909,-0.26,0.7641,-0.2469,0.4296,-0.2578,0.4258,-0.5107,0.1894,-0.303,0.0728,-0.4974,0.0802,-0.1953,0.0216
0.48,-0.3073,1.3084,-0.3077,0.7998,-0.1894,1.5884,-0.3807,1.0087,-0.3244,0.9849,-0.3091,0.7912,-0.2387,0.7686,-0.2264,0.4341,-0.2553,0.4259,-0.481,0.1835,-0.3027,0.073,-0.4586,0.0773,-0.1953,0.0215
0.49,-0.2955,1.3101,-0.2969,0.8014,-0.1783,1.5902,-0.372,1.0107,-0.3094,0.9872,-0.3053,0.7915,-0.2176,0.7732,-0.2064,0.4385,-0.2528,0.4262,-0.4505,0.1767,-0.3023,0.0733,-0.4192,0.0737,-0.1952,0.0214
0.5,-0.2836,1.3117,-0.2861,0.8029,-0.1675,1.592,-0.3631,1.0124,-0.2946,0.9894,-0.3013,0.7918,-0.1967,0.7779,-0.1869,0.4426,-0.2503,0.4264,-0.4191,0.169,-0.3019,0.0737,-0.3793,0.0698,-0.1951,0.0213
0.51,-0.2718,1.3131,-0.2754,0.8042,-0.1567,1.5936,-0.3542,1.0139,-0.28,0.9915,-0.297,0.792,-0.176,0.7827,-0.1679,0.4465,-0.2477,0.4267,-0.3869,0.1606,-0.3015,0.0741,-0.3391,0.0656,-0.195,0.0212
0.52,-0.2601,1.3142,-0.2647,0.8053,-0.1461,1.595,-0.345,1.0151,-0.2655,0.9934,-0.2924,0.7922,-0.1555,0.7875,-0.1495,0.45,-0.2451,0.427,-0.3538,0.1519,-0.3011,0.0745,-0.2987,0.0613,-0.1948,0.0212
0.53,-0.2483,1.3151,-0.2541,0.8062,-0.1355,1.5962,-0.3358,1.016,-0.2512,0.995,-0.2875,0.7922,-0.1353,0.7922,-0.1318,0.4532,-0.2424,0.4273,-0.3199,0.143,-0.3007,0.075,-0.2582,0.0572,-0.1947,0.0212
0.54,-0.2366,1.3157,-0.2434,0.8068,-0.1251,1.5971,-0.3264,1.0166,-0.237,0.9964,-0.2822,0.7921,-0.1152,0.7969,-0.1148,0.4558,-0.2396,0.4276,-0.2851,0.1341,-0.3003,0.0755,-0.2176,0.0534,-0.1945,0.0212
0.55,-0.2249,1.316,-0.2329,0.8071,-0.1147,1.5979,-0.3168,1.0168,-0.223,0.9976,-0.2764,0.7917,-0.0954,0.8015,-0.0986,0.4579,-0.2367,0.4278,-0.2496,0.1255,-0.2998,0.076,-0.177,0.0501,-0.1944,0.0212
0.56,-0.2132,1.316,-0.2223,0.8072,-0.1043,1.5983,-0.307,1.0167,-0.2091,0.9984,-0.2702,0.7911,-0.0759,0.8059,-0.0833,0.4594,-0.2337,0.428,-0.2134,0.1174,-0.2994,0.0766,-0.1363,0.0475,-0.1942,0.0213
0.57,-0.2016,1.3156,-0.2118,0.807,-0.094,1.5985,-0.297,1.0162,-0.1953,0.9988,-0.2636,0.7903,-0.0566,0.8101,-0.0687,0.4603,-0.2306,0.4281,-0.1767,0.11,-0.299,0.0771,-0.0957,0.0457,-0.1941,0.0213
0.58,-0.1899,1.315,-0.2012,0.8065,-0.0838,1.5985,-0.2869,1.0154,-0.1816,0.999,-0.2565,0.7892,-0.0377,0.8142,-0.0549,0.4606,-0.2273,0.4281,-0.1398,0.1036,-0.2986,0.0777,-0.0552,0.045,-0.1941,0.0214
0.59,-0.1783,1.3141,-0.1906,0.8058,-0.0735,1.5981,-0.2766,1.0143,-0.168,0.9988,-0.2488,0.7878,-0.019,0.818,-0.0418,0.4603,-0.224,0.4281,-0.1028,0.0981,-0.2982,0.0783,-0.0151,0.0453,-0.194,0.0214
