Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.63,-0.0303,-0.1476,0.8007,-0.304,0.2933,-0.0856,-0.4124,-0.7365,-0.4456,0.1322,0.3217,0.0858,-1.1812,-1.2917
0.64,-0.0314,-0.1366,0.7991,-0.2982,0.2921,-0.0915,-0.4077,-0.7545,-0.4461,0.1486,0.262,0.0799,-1.1785,-1.2951
0.65,-0.0323,-0.1256,0.7973,-0.2926,0.2904,-0.0967,-0.4037,-0.7715,-0.4459,0.1646,0.2064,0.0754,-1.1765,-1.2988
0.66,-0.033,-0.1144,0.7954,-0.2873,0.2881,-0.1012,-0.4004,-0.7875,-0.4453,0.1801,0.1562,0.0727,-1.1753,-1.3026
0.67,-0.0336,-0.1031,0.7935,-0.2822,0.2852,-0.1048,-0.3978,-0.8022,-0.4446,0.1952,0.1125,0.0717,-1.1747,-1.3065
0.68,-0.0339,-0.0917,0.7916,-0.2773,0.2819,-0.1074,-0.3959,-0.8156,-0.4438,0.2096,0.0762,0.0726,-1.1747,-1.3104
0.69,-0.0341,-0.08,0.7897,-0.2725,0.2781,-0.109,-0.3948,-0.8276,-0.4433,0.2235,0.0478,0.0755,-1.1748,-1.3138
0.7,-0.0341,-0.0682,0.7879,-0.268,0.274,-0.1094,-0.3943,-0.8383,-0.4428,0.2368,0.0278,0.0805,-1.1749,-1.3166
0.71,-0.0338,-0.0562,0.7862,-0.2636,0.2695,-0.1085,-0.3946,-0.8475,-0.4426,0.2495,0.0162,0.0875,-1.1745,-1.3181
0.72,-0.0333,-0.0439,0.7847,-0.2593,0.2647,-0.1062,-0.3954,-0.8551,-0.4425,0.2615,0.0125,0.0968,-1.173,-1.3179
0.73,-0.0326,-0.0313,0.7832,-0.2551,0.2597,-0.1026,-0.3967,-0.861,-0.4424,0.2726,0.0163,0.1085,-1.17,-1.3154
0.74,-0.0317,-0.0185,0.782,-0.251,0.2544,-0.0975,-0.3983,-0.8653,-0.4424,0.2825,0.0267,0.1229,-1.1649,-1.3098
0.75,-0.0306,-0.0055,0.7809,-0.2469,0.249,-0.0911,-0.4002,-0.8677,-0.4422,0.2909,0.0426,0.1404,-1.1576,-1.3005
0.76,-0.0294,0.0078,0.78,-0.2429,0.2432,-0.0833,-0.4022,-0.8681,-0.4419,0.2973,0.0631,0.1614,-1.148,-1.2868
0.77,-0.0282,0.0213,0.7793,-0.2389,0.2371,-0.0744,-0.404,-0.8663,-0.4414,0.3012,0.0868,0.1864,-1.1364,-1.2681
0.78,-0.0269,0.0349,0.7789,-0.2348,0.2306,-0.0645,-0.4057,-0.8624,-0.4405,0.3021,0.1126,0.2159,-1.1235,-1.2439
0.79,-0.0257,0.0485,0.7786,-0.2308,0.2236,-0.0538,-0.4072,-0.856,-0.4393,0.2994,0.1396,0.2504,-1.1104,-1.2139
