# Model:
# Number_of_Rigid_Bodies:12
# Number_of_Frames:109
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy,Body_3_X,Body_3_Y,Body_3_Ux,Body_3_Uy,Body_4_X,Body_4_Y,Body_4_Ux,Body_4_Uy,Body_5_X,Body_5_Y,Body_5_Ux,Body_5_Uy,Body_6_X,Body_6_Y,Body_6_Ux,Body_6_Uy,Body_7_X,Body_7_Y,Body_7_Ux,Body_7_Uy,Body_8_X,Body_8_Y,Body_8_Ux,Body_8_Uy,Body_9_X,Body_9_Y,Body_9_Ux,Body_9_Uy,Body_10_X,Body_10_Y,Body_10_Ux,Body_10_Uy,Body_11_X,Body_11_Y,Body_11_Ux,Body_11_Uy,Body_12_X,Body_12_Y,Body_12_Ux,Body_12_Uy,Mixed_Ang_Driver_1,Mixed_Ang_Driver_2,Mixed_Ang_Driver_3,Mixed_Ang_Driver_4,Mixed_Ang_Driver_5,Mixed_Ang_Driver_6,Mixed_Ang_Driver_7,Mixed_Ang_Driver_8,Mixed_Ang_Driver_9,Mixed_Ang_Driver_10,Mixed_Ang_Driver_11,Mixed_Ang_Driver_12
23.0,0.23,0.274,1.1179,0.9971,-0.0349,0.3152,1.4636,0.9782,-0.2187,0.2734,1.158,1.0052,-0.0488,0.2606,1.1797,0.992,-0.1539,0.2983,0.9168,0.896,0.4292,0.2558,0.9452,0.9562,0.2775,0.2958,0.6379,0.9788,0.2097,0.2914,0.636,0.9842,0.1803,0.3309,0.2722,0.9973,-0.059,0.2131,0.33,0.613,-0.7878,0.3716,0.0432,0.3778,0.9269,0.0583,0.1465,1.0006,0.0456,0.035,-0.1849,-0.0135,-0.1189,0.4952,0.4364,0.2461,0.2162,-0.2702,-1.0907,1.2428,0.9551
24.0,0.24,0.2849,1.1197,0.997,-0.0366,0.3262,1.4652,0.9784,-0.2179,0.286,1.1598,1.0056,-0.0392,0.2705,1.1815,0.9905,-0.1636,0.3142,0.9192,0.8856,0.4504,0.2617,0.9466,0.9649,0.2453,0.303,0.6388,0.9829,0.1895,0.3064,0.639,0.9782,0.2099,0.3326,0.2722,0.9967,-0.0668,0.2368,0.3316,0.6311,-0.7735,0.3716,0.0432,0.3797,0.9261,0.088,0.145,0.9968,0.0976,0.0367,-0.1824,-0.0022,-0.1269,0.5095,0.4126,0.2272,0.2481,-0.2573,-1.0979,1.2486,0.9841
25.0,0.25,0.2957,1.1214,0.9969,-0.0379,0.3372,1.4667,0.9786,-0.2171,0.2985,1.1616,1.0059,-0.0299,0.2803,1.1833,0.9889,-0.1732,0.3299,0.9218,0.8746,0.4714,0.2676,0.9481,0.9724,0.2136,0.3102,0.6397,0.9868,0.1687,0.3212,0.6418,0.9718,0.2376,0.3342,0.2723,0.9962,-0.0741,0.2603,0.3326,0.6524,-0.7557,0.3716,0.0432,0.3824,0.925,0.1184,0.1423,0.9897,0.1527,0.038,-0.1804,0.0083,-0.1354,0.524,0.3896,0.2073,0.2777,-0.2436,-1.0983,1.2531,1.0116
26.0,0.26,0.3067,1.1229,0.9969,-0.0392,0.3481,1.468,0.9788,-0.216,0.311,1.1633,1.0061,-0.0215,0.2901,1.185,0.987,-0.1837,0.3454,0.9244,0.8634,0.4918,0.2734,0.9497,0.9785,0.1835,0.3174,0.6405,0.9902,0.1479,0.3358,0.6444,0.9651,0.2634,0.3358,0.2723,0.9956,-0.0814,0.2836,0.333,0.6768,-0.7341,0.3716,0.0432,0.3853,0.9238,0.1494,0.1386,0.9793,0.2088,0.0393,-0.1779,0.0179,-0.1447,0.5391,0.3694,0.1875,0.3057,-0.2298,-1.0925,1.2572,1.0361
27.0,0.27,0.3175,1.1244,0.9969,-0.0398,0.3589,1.4692,0.9789,-0.2154,0.3232,1.1649,1.0061,-0.0129,0.2998,1.1866,0.9852,-0.1936,0.3606,0.9268,0.8518,0.5118,0.2792,0.9512,0.9835,0.1543,0.3247,0.6412,0.9931,0.1267,0.3503,0.6468,0.9581,0.2873,0.3374,0.2724,0.995,-0.0887,0.3069,0.3327,0.7037,-0.7087,0.3717,0.0433,0.3878,0.9227,0.181,0.1338,0.9658,0.2635,0.0399,-0.1766,0.0271,-0.1541,0.5539,0.3497,0.1668,0.3313,-0.2157,-1.0803,1.2618,1.0553
28.0,0.28,0.3284,1.1256,0.9969,-0.0406,0.3697,1.4703,0.9792,-0.214,0.3354,1.1663,1.0061,-0.0051,0.3094,1.188,0.9831,-0.2038,0.3757,0.9292,0.8399,0.5312,0.2852,0.9526,0.9875,0.1264,0.3319,0.6418,0.9956,0.1052,0.3645,0.6489,0.9512,0.3092,0.339,0.2725,0.9944,-0.0957,0.3301,0.3318,0.7323,-0.6794,0.3718,0.0433,0.3906,0.9215,0.2133,0.1283,0.9488,0.3187,0.0407,-0.1745,0.0356,-0.1637,0.5691,0.3317,0.146,0.355,-0.2012,-1.0623,1.2658,1.0721
29.0,0.29,0.3393,1.1266,0.9969,-0.0408,0.3805,1.4711,0.9793,-0.2134,0.3475,1.1675,1.006,0.0025,0.319,1.1892,0.9809,-0.2139,0.3905,0.9315,0.8278,0.55,0.2911,0.9539,0.9906,0.0998,0.3393,0.6423,0.9977,0.0831,0.3785,0.6507,0.9446,0.3288,0.3406,0.2725,0.9938,-0.1023,0.3531,0.3303,0.762,-0.6462,0.3719,0.0434,0.3934,0.9203,0.2462,0.1222,0.9286,0.3727,0.0409,-0.1737,0.0434,-0.1738,0.5839,0.3151,0.124,0.3759,-0.1857,-1.0384,1.2694,1.0851
30.0,0.3,0.3503,1.1273,0.9969,-0.0408,0.3913,1.4717,0.9795,-0.2122,0.3595,1.1686,1.0059,0.0096,0.3287,1.1901,0.9787,-0.2239,0.4051,0.9336,0.8154,0.5683,0.2972,0.955,0.9928,0.074,0.3466,0.6427,0.9993,0.0606,0.3923,0.6521,0.9384,0.346,0.3421,0.2726,0.9931,-0.1089,0.376,0.3282,0.7924,-0.6089,0.3719,0.0435,0.3954,0.9194,0.2797,0.1155,0.9055,0.4254,0.0409,-0.1724,0.0505,-0.1839,0.5991,0.2993,0.1016,0.3942,-0.1699,-1.0084,1.2739,1.0944
31.0,0.31,0.3612,1.1278,0.997,-0.0407,0.402,1.4721,0.9797,-0.2113,0.3715,1.1694,1.0057,0.0165,0.3383,1.1908,0.9764,-0.2339,0.4196,0.9354,0.8028,0.5862,0.3034,0.9561,0.9943,0.0503,0.3541,0.6429,1.0004,0.0384,0.4059,0.6532,0.9326,0.3611,0.3438,0.2726,0.9924,-0.1158,0.3989,0.3256,0.8228,-0.5675,0.3721,0.0436,0.3971,0.9186,0.3139,0.1086,0.8786,0.478,0.0408,-0.1717,0.0572,-0.1943,0.6143,0.2857,0.0791,0.4102,-0.1545,-0.9732,1.2789,1.102
32.0,0.32,0.3723,1.128,0.997,-0.0402,0.4128,1.4722,0.9798,-0.2105,0.3834,1.1699,1.0055,0.023,0.3479,1.1913,0.9739,-0.2438,0.4339,0.937,0.7901,0.6033,0.3097,0.9568,0.9952,0.0275,0.3616,0.643,1.0009,0.0153,0.4192,0.6538,0.9277,0.3734,0.3453,0.2727,0.9917,-0.1225,0.4216,0.3225,0.8524,-0.5222,0.3722,0.0436,0.3989,0.9177,0.3487,0.1016,0.8477,0.5305,0.0403,-0.1713,0.0632,-0.205,0.6292,0.2729,0.0555,0.4229,-0.1382,-0.9323,1.2837,1.1088
